route,401,401_1,401_2,401_3,401_4,401_5,401_6,401_7,401_8,401_9,401_10,401_11,401_12,401_13,401_14,401_15,401_16,401_17,401_18,401_19,401_20,401_21,401_22,401_23,401_24,401_25,401_26,401_27,401_28,401_29,401_30,401_31,401_32,401_33,401_34,401_35,401_36,401_37,401_38,401_39,401_40,401_41,401_42,401_43,401_44,401_45,401_46,401_47,401_48,401_49,401_50,401_51,401_52,401_53,route_id,402,402_1,402_2,402_3,402_4,402_5,402_6,402_7,402_8,402_9,402_10,402_11,402_12,402_13,402_14,402_15,402_16,402_17,402_18,402_19,402_20,402_21,402_22,402_23,402_24,402_25,402_26,402_27,402_28,402_29,404,404_1,404_2,404_3,404_4,404_5,404_6,404_7,404_8,404_9,404_10,404_11,404_12,404_13,404_14,404_15,404_16,404_17,404_18,404_19,404_20,404_21,404_22,404_23,404_24,404_25,404_26,404_27,404_28,404_29,404_30,404_31,404_32,404_33,404_34,404_35,404_36,405,405_1,405_2,405_3,405_4,405_ssuo,405_5,405_so,405_6,405_ssuo_1,405_7,405_so_1,405_8,405_ssuo_2,405_9,405_10,405_11,405_12,405_13,405_14,405_15,405_16,405_17,405_18,405_19,405_20,405_21,405_22,405_23,405_24,405_25,405_26,405_27,405_28,405_ssuo_3,405_29,405_so_2,405_30,405_ssuo_4,405_31,405_so_3,405_32,405_ssuo_5,405_33,405_so_4,405_34,405_ssuo_6,405_35,405_so_5,405_36,405_ssuo_7,405_37,405_suo,405_38,405_suo_1,405_39,405_suo_2,405_40,405_suo_3,405_41,405_suo_4,405_42,405_suo_5,405_43,405_suo_6,405_44,407,407_1,407_2,407_3,407_4,407_5,407_6,407_7,407_8,407_9,407_10,407_11,407_12,407_13,407_14,407_15,407_16,407_17,407_18,407_19,407_20,407_21,407_22,407_23,407_24,407_25,407_26,407_27,407_28,407_29,409,409_1,409_2,409_3,409_so,409_4,409_5,409_6,409_7,409_8,409_9,409_10,409_11,409_12,409_13,409_14,409_15,409_16,409_17,409_18,409_19,409_20,409_21,409_22,409_23,409_24,409_25,409_26,409_suo,409_27,409_28,409_29,409_suo_1,409_30,409_31,409_32,409_suo_2,409_33,409_34,409_35,409_suo_3,409_36,409_37,409_38,409_suo_4,409_39,409_40,409_41,409_suo_5,409_42,409_43,409_44,409_suo_6,409_45,409_46,409_47,409_suo_7,409_48,409_49,409_50,409_suo_8,409_51,409_52,409_53,409_suo_9,409_54,409_55,409_56,409_suo_10,409_57,409_58,409_59,409_suo_11,409_60,409_61,409_62,409_suo_12,409_63,409_64,409_65,409_suo_13,409_66,409_67,409_fo,409_tho,409_so_1,409_suo_14,409_fo_1,409_68,409_69,409_70,409_suo_15,409_71,409_72,409_73,409_suo_16,409_74,409_75,409_76,409_77,409_78,409_79,409_80,409_81,409_82,409_83,409_84,409_85,409_86,409_87,409_88,409_89,409_90,409_91,409_92,409_93
Parkmore Rd (Roundabout),06:05 P,06:25 P,06:45 P,07:05 P,07:25 P,07:45 P,08:05 P,08:25 P,08:45 P,09:05 P,09:25 P,09:45 P,10:05 P,10:25 P,10:45 P,11:05 P,11:25 P,11:45 P,12:05 P,12:25 P,12:45 P,13:05 P,13:25 P,13:45 P,14:05 P,14:25 P,14:45 P,15:05 P,15:25 P,15:45 P,16:05 P,16:25 P,16:45 P,17:05 P,17:25 P,17:45 P,18:05 P,18:25 P,18:45 P,19:05 P,19:25 P,19:45 P,20:05 P,20:25 P,20:45 P,21:05 P,21:25 P,21:45 P,22:05 P,22:25 P,22:45 P,23:05 P,23:25 P,23:45 P,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballybrit RC,06:05,06:25,06:45,07:05,07:25,07:45,08:05,08:25,08:45,09:05,09:25,09:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:25,18:45,19:05,19:25,19:45,20:05,20:25,20:45,21:05,21:25,21:45,22:05,22:25,22:45,23:05,23:25,23:45,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkmore Rd (Opp Western Motors Entr),06:06,06:26,06:46,07:06,07:26,07:46,08:06,08:26,08:46,09:06,09:26,09:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:06,19:26,19:46,20:06,20:26,20:46,21:06,21:26,21:46,22:06,22:26,22:46,23:06,23:26,23:46,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monivea Rd (Opp Clayton Hotel),06:08,06:28,06:48,07:10,07:29,07:49,08:09,08:29,08:49,09:09,09:29,09:49,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:09,13:29,13:49,14:09,14:29,14:49,15:09,15:29,15:49,16:09,16:29,16:49,17:09,17:29,17:49,18:08,18:28,18:48,19:08,19:28,19:48,20:08,20:28,20:48,21:08,21:28,21:48,22:08,22:28,22:48,23:08,23:28,23:48,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monivea Rd (Paddocks),06:09,06:29,06:49,07:12,07:30,07:50,08:10,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:09,18:29,18:49,19:09,19:29,19:49,20:09,20:29,20:49,21:09,21:29,21:49,22:09,22:29,22:49,23:09,23:29,23:49,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monivea Rd (Ballybrit Heights),06:10,06:30,06:50,07:12,07:30,07:50,08:10,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:11,15:31,15:51,16:10,16:30,16:50,17:10,17:30,17:50,18:09,18:29,18:49,19:09,19:29,19:49,20:09,20:29,20:49,21:09,21:29,21:49,22:09,22:29,22:49,23:09,23:29,23:49,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballybrit Ind Est,06:11,06:31,06:51,07:13,07:31,07:51,08:11,08:31,08:51,09:11,09:31,09:51,10:11,10:31,10:51,11:11,11:31,11:51,12:11,12:31,12:51,13:11,13:31,13:51,14:11,14:31,14:51,15:12,15:32,15:52,16:11,16:31,16:51,17:11,17:31,17:51,18:10,18:30,18:50,19:10,19:30,19:50,20:10,20:30,20:50,21:10,21:30,21:50,22:10,22:30,22:50,23:10,23:30,23:50,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castlepark Rd (Glenavon Drive),06:11,06:31,06:51,07:14,07:32,07:52,08:12,08:32,08:52,09:12,09:32,09:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,13:12,13:32,13:52,14:12,14:32,14:52,15:12,15:32,15:52,16:12,16:32,16:52,17:12,17:32,17:52,18:11,18:31,18:51,19:11,19:31,19:51,20:11,20:31,20:51,21:11,21:31,21:51,22:10,22:30,22:50,23:10,23:30,23:50,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castlepark Rd (Gortcam),06:12,06:32,06:52,07:14,07:32,07:52,08:12,08:32,08:52,09:12,09:32,09:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,13:12,13:32,13:52,14:12,14:32,14:52,15:13,15:33,15:53,16:12,16:32,16:52,17:12,17:32,17:52,18:11,18:31,18:51,19:11,19:31,19:51,20:11,20:31,20:51,21:11,21:31,21:51,22:11,22:31,22:51,23:11,23:31,23:51,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castlepark Rd (Sliabh Rua),06:12,06:32,06:52,07:15,07:33,07:53,08:13,08:33,08:53,09:13,09:33,09:53,10:13,10:33,10:53,11:13,11:33,11:53,12:13,12:33,12:53,13:13,13:33,13:53,14:13,14:33,14:53,15:14,15:34,15:54,16:13,16:33,16:53,17:13,17:33,17:53,18:12,18:32,18:52,19:12,19:32,19:52,20:12,20:32,20:52,21:12,21:32,21:52,22:11,22:31,22:51,23:11,23:31,23:51,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
