,route_long_name,g_trip_headsign,route_id,route_short_name,direction_id,variation_route_id,first_stop_id,last_stop_id,first_stop_name,last_stop_name,num_stops,first_stop_point,last_stop_point
BR1,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5221101,Ballybrit RC,Salthill Park,37,POINT (-8.98609174633832 53.297332735448),POINT (-9.07901743408459 53.2582955027338)
BR2,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B522301,Ballybrit RC,Scoil Éinde Boys NS,37,POINT (-8.98609174633832 53.297332735448),POINT (-9.08315723300364 53.2643514959341)
BR3,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5221401,Ballybrit RC,Forster Park,37,POINT (-8.98609174633832 53.297332735448),POINT (-9.0801860381487 53.2642256636509)
BR4,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5221301,Ballybrit RC,Oaklands,37,POINT (-8.98609174633832 53.297332735448),POINT (-9.08000297684139 53.2617198078764)
BR5,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5220601,Ballybrit RC,Lios Ealtan,37,POINT (-8.98609174633832 53.297332735448),POINT (-9.066000123803 53.2682269482251)
BR6,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5234801,Ballybrit RC,Ballybrit Heights,37,POINT (-8.98609174633832 53.297332735448),POINT (-8.99785800512348 53.2898292638969)
BR7,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5235201,Ballybrit RC,Sliabh Rua,37,POINT (-8.98609174633832 53.297332735448),POINT (-9.00168646616938 53.2835778841625)
BR8,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5243601,Ballybrit RC,Forster Street,37,POINT (-8.98609174633832 53.297332735448),POINT (-9.04655479215098 53.2749151230331)
BR9,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5236701,Ballybrit RC,Loyola Park,37,POINT (-8.98609174633832 53.297332735448),POINT (-9.03606407842082 53.2800756554331)
BR10,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5235801,Ballybrit RC,Monivea Park,37,POINT (-8.98609174633832 53.297332735448),POINT (-9.01547328801551 53.2888447484771)
BR11,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B522331,Ballybrit RC,Eyre Square,24,POINT (-8.98609174633832 53.297332735448),POINT (-9.04884707532921 53.2736187626422)
BR12,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234501,8460B5221201,Briarhill Park,Dalysfort Road,37,POINT (-8.98412603603341 53.2933945230555),POINT (-9.08001854601089 53.2599581150869)
BR13,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234501,8460B522301,Briarhill Park,Scoil Éinde Boys NS,37,POINT (-8.98412603603341 53.2933945230555),POINT (-9.08315723300364 53.2643514959341)
BR14,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234501,8460B5221301,Briarhill Park,Oaklands,37,POINT (-8.98412603603341 53.2933945230555),POINT (-9.08000297684139 53.2617198078764)
BR15,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234501,8460B5221101,Briarhill Park,Salthill Park,37,POINT (-8.98412603603341 53.2933945230555),POINT (-9.07901743408459 53.2582955027338)
BR16,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234501,8460B5221401,Briarhill Park,Forster Park,37,POINT (-8.98412603603341 53.2933945230555),POINT (-9.0801860381487 53.2642256636509)
BR17,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234501,8460B5236801,Briarhill Park,Connacht Rugby,37,POINT (-8.98412603603341 53.2933945230555),POINT (-9.0382948105457 53.2786901615763)
BR18,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234601,8460B6355601,Clayton Hotel,Galway Tech Park,37,POINT (-8.98891699933164 53.2910541229746),POINT (-8.98686582677608 53.2990249478803)
BR19,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234601,8460B5234801,Clayton Hotel,Ballybrit Heights,37,POINT (-8.98891699933164 53.2910541229746),POINT (-8.99785800512348 53.2898292638969)
