,building_name,osm_id,building_type,latitude,longitude
B1,7th Day Adventist Church,160662154,building,53.27418086642123,-8.998755263332518
B2,AIB,101455935,building,53.285489400714354,-9.034299671850043
B3,ALDI,614947378,building,53.270834704137044,-9.09834266756399
B4,Abbeygate House,1083308434,building,53.27382927212537,-9.052922311810207
B5,Abbeygate House,164864096,building,53.272842780480254,-9.05137221545618
B6,Abhainn na mBradán,756121484,building,53.27433350149702,-9.054715130236714
B7,Administration,160607710,building,53.27832794466934,-8.992869545691486
B8,"Administration, Canteen, Kitchens, Stores, Pharmacy, Library, Education Centre",160795151,building,53.277348516909015,-8.993398822646785
B9,Adult Acute Mental Health Unit,15757242,building,53.278949527952626,-9.065963517778654
B10,Aengus House,163414619,building,53.26871914822942,-9.050391918912979
B11,Aisling Centre,161303473,building,53.2798234288141,-9.025480340539787
B12,Aisling House,211855430,building,53.26616016692223,-9.062540432573575
B13,Alice Perry Engineering Building,178611849,building,53.283963623221254,-9.063876666997544
B14,Almara House,209416215,building,53.27610951509116,-9.004760216750318
B15,Altenagh House,211939508,building,53.27317664000899,-9.057022598936532
B16,American House,162377560,building,53.27548699428959,-9.049360326905894
B17,An Grianan Geal,211933620,building,53.27547367492948,-9.063119336635399
B18,An Triantán,188161393,building,53.29666999413842,-9.031155620155184
B19,Anatomy Building,164865640,building,53.27873865930621,-9.06239452327558
B20,Anecto Ltd,160685078,building,53.28571534101735,-9.027218751960426
B21,Anno Santo Hotel,163130171,building,53.26325532763814,-9.08866891537278
B22,Applegreen,161450766,building,53.286786713738486,-9.030709239020577
B23,Applegreen,161450769,building,53.28702506773128,-9.030876737546743
B24,Arasain Na Mara,164368569,building,53.26372065071939,-9.070477593709395
B25,Ard Bia at Nimmo's,36783343,building,53.26957689317808,-9.053792879292882
B26,Ardawn House,288849328,building,53.27822405399961,-9.039705966245386
B27,Arts / Science Building,7294785,building,53.28010806411906,-9.059972962890798
B28,Arts Millennium Building,211900817,building,53.27981190005852,-9.062329866833968
B29,Arás na Gaeilge,211900823,building,53.27856325895252,-9.060515382682427
B30,Arús Grattan,163424275,building,53.26351366726372,-9.071131686050048
B31,Atlanta House,211754669,building,53.270152604432575,-9.056629305740273
B32,Atlantic House,1056315649,building,53.27664447441126,-9.047661579322973
B33,Augustine Court,146909213,building,53.271895533735815,-9.051510359566164
B34,Augustine House,870982487,building,53.27115656114851,-9.052166690335996
B35,Augustinian Priory,146909214,building,53.27184417114996,-9.052078856968572
B36,Avalon Adult Respite Centre,211896345,building,53.26425276161125,-9.062761376184083
B37,Avalon Threadneedle Court,211631991,building,53.258935326191235,-9.090874368721762
B38,Avoca House,209416217,building,53.276015950921504,-9.00482006774988
B39,B&Q,185498177,building,53.271671208730574,-9.099100004253486
