,place_name,latitude,longitude
P1,Acres,53.2592188,-9.101355553395862
P2,An Caisleán Gearr,53.300019649999996,-9.024590693469897
P3,An Cheapach,53.2745665,-9.13369840168101
P4,An Coimín Mór,53.26495025,-9.12516967649721
P5,An Léana Bodhar,53.265996099999995,-9.129509131018466
P6,An Pháirc Mhór,53.29861255,-9.003507305021964
P7,An Roisín,53.25953345,-9.116062936508595
P8,An Sean Bhaile Dubh,53.261474899999996,-9.120979387530078
P9,Attithomasrevagh,53.2610031,-9.085430983293111
P10,Baile An Dúlaigh,53.30821225,-9.036963406179424
P11,Baile An Mhóinín Thiar,53.26460605,-9.118606506667648
P12,Baile An Phoill,53.29062075,-9.040711156205624
P13,Baile Na mBúrcach,53.27214535,-9.117128545778144
P14,Baile an Mhóinín Thoir,53.26398465,-9.112101714385025
P15,Baile na hAbhann Thoir,53.2732045,-9.123780978477377
P16,Ballagh,53.2939372,-9.096959610336093
P17,Ballybaan Beg,53.2861719,-9.023483597865827
P18,Ballybaan More,53.283306350000004,-9.004982502892073
P19,Ballybrit,53.294486750000004,-8.99515325679696
P20,Barnacranny,53.289821700000005,-9.09146149108165
P21,Bearna,53.25973855,-9.131488430164111
P22,Bushypark,53.2986561,-9.089646063910568
P23,Cappanaveagh,53.26125155,-9.080265524172678
P24,Cathair na Gaillimhe,53.284150600000004,-9.037836324751463
P25,Cloghatisky,53.266566749999996,-9.074799686657764
P26,Cluain Na nGabhair,53.261365749999996,-9.128159925282603
P27,Clybaun,53.2706577,-9.108388127203678
P28,Connacht,53.284150600000004,-9.037836324751463
P29,Coolagh,53.29370135,-8.965234439942353
P30,County Galway,53.284150600000004,-9.037836324751463
P31,Curragrean,53.27465455,-8.963830475958364
P32,Cúil Each,53.29676105,-9.050003565145756
P33,Dangan Lower,53.295775500000005,-9.08107582797106
P34,Dangan Upper,53.2849054,-9.082647352941176
P35,Derryloney,53.25240205,-9.127049876943776
P36,Doughiska,53.28450385,-8.979715366911766
P37,Glenanail,53.28996645,-9.027430678624638
P38,Gort Na Leice,53.26216935,-9.126317670874498
P39,Ireland,53.284150600000004,-9.037836324751463
P40,Keeraun,53.2779178,-9.118001654430525
P41,Kilcorkey,53.267581750000005,-9.068628812251308
P42,Knocknacarragh,53.2566057,-9.10985239683532
P43,Lenaboy,53.26194635,-9.074403495536295
P44,Letteragh,53.28273715,-9.09021029500306
P45,Merlin Park,53.27788045,-8.9936811850393
P46,Milestone,53.2803627,-9.027480657467656
P47,Mincloon,53.28213345,-9.107418576844777
P48,Mionlach,53.3053225,-9.062861421493508
P49,Murroogh,53.2735834,-9.002108981585927
P50,Mutton Island,53.2547631,-9.054465693433952
P51,Newcastle,53.2852714,-9.06682993119704
P52,Pollnarooma East,53.26188085,-9.090199408273094
P53,Pollnarooma West,53.2610705,-9.09618211047571
P54,Rabbit Island,53.2625842,-9.008755626349327
P55,Rahoon,53.27716555,-9.089465645095348
P56,Rahylin Glebe,53.280931100000004,-9.005970812155962
P57,Renmore,53.2737075,-9.0236796010822
P58,Roscam,53.269651350000004,-8.982616837683416
P59,Seanghort,53.261943450000004,-9.10761311473091
P60,Shantallow,53.2738813,-9.07235510228109
P61,Tievegarriff,53.267189450000004,-9.081245569168036
P62,Townparks,53.2713157,-9.063791375189636
P63,Townparks,53.2773351,-9.048446400399047
P64,Tír Oileáin,53.286236099999996,-9.052294798624619
P65,Wellpark,53.281978699999996,-9.030594268189208
