,origin_poi,destination_poi,route_id,origin_stop_id,destination_stop_id,origin_stop_order,destination_stop_order,hops,transit_distance_m,walking_distance_from_origin_poi_m,walking_distance_to_dest_poi_m,total_journey_distance_m
6,Rahoon,Portershed,405,8460B5256901,8460B5225601,0,9,9,5847.4777224736645,726.4626934218753,656.2203411417222,7230.160757037262
9,Rahoon,Portershed,405,8460B5256901,8460B5230201,0,11,11,13479.6133388058,726.4626934218753,184.2935233707138,14390.36955559839
5,Rahoon,Portershed,405,8460B5256901,8460B522331,0,12,12,13859.207579650654,726.4626934218753,319.5179420353986,14905.188215107928
7,Rahoon,Portershed,405,8460B5256901,8460B5226201,0,13,13,14304.693633450725,726.4626934218753,621.9661286408664,15653.122455513467
8,Rahoon,Portershed,405,8460B5256901,8460B5226301,0,16,16,14470.9001671951,726.4626934218753,786.2075211034957,15983.57038172047
11,Rahoon,Portershed,405,8460B5257001,8460B5225601,1,9,8,5347.047643728767,767.3727018826424,656.2203411417222,6770.640686753131
14,Rahoon,Portershed,405,8460B5257001,8460B5230201,1,11,10,12979.183260060901,767.3727018826424,184.2935233707138,13930.849485314258
10,Rahoon,Portershed,405,8460B5257001,8460B522331,1,12,11,13358.777500905755,767.3727018826424,319.5179420353986,14445.668144823796
12,Rahoon,Portershed,405,8460B5257001,8460B5226201,1,13,12,13804.263554705825,767.3727018826424,621.9661286408664,15193.602385229335
13,Rahoon,Portershed,405,8460B5257001,8460B5226301,1,16,15,13970.4700884502,767.3727018826424,786.2075211034957,15524.050311436338
1,Rahoon,Portershed,405,84605257301,8460B5225601,7,9,2,1185.4460386192347,729.9969032122906,656.2203411417222,2571.6632829732475
4,Rahoon,Portershed,405,84605257301,8460B5230201,7,11,4,8817.58165495137,729.9969032122906,184.2935233707138,9731.872081534373
0,Rahoon,Portershed,405,84605257301,8460B522331,7,12,5,9197.175895796223,729.9969032122906,319.5179420353986,10246.69074104391
2,Rahoon,Portershed,405,84605257301,8460B5226201,7,13,6,9642.661949596293,729.9969032122906,621.9661286408664,10994.62498144945
3,Rahoon,Portershed,405,84605257301,8460B5226301,7,16,9,9808.868483340668,729.9969032122906,786.2075211034957,11325.072907656453
