LA,RoadNumber,RoadClass
Cork City Council,L-1001,Local Primary
Cork City Council,L-10011,Local Tertiary
Cork City Council,L-10012,Local Tertiary
Cork City Council,L-10014,Local Tertiary
Cork City Council,L-10016,Local Tertiary
Cork City Council,L-10017,Local Tertiary
Cork City Council,L-10019,Local Tertiary
Cork City Council,L-1002,Local Primary
Cork City Council,L-10021,Local Tertiary
Cork City Council,L-10022,Local Tertiary
Cork City Council,L-10025,Local Tertiary
Cork City Council,L-10028,Local Tertiary
Cork City Council,L-10029,Local Tertiary
Cork City Council,L-1003,Local Primary
Cork City Council,L-10031,Local Tertiary
Cork City Council,L-10032,Local Tertiary
Cork City Council,L-10033,Local Tertiary
Cork City Council,L-10034,Local Tertiary
Cork City Council,L-10037,Local Tertiary
Cork City Council,L-10038,Local Tertiary
Cork City Council,L-1004,Local Primary
Cork City Council,L-10041,Local Tertiary
Cork City Council,L-10042,Local Tertiary
Cork City Council,L-10043,Local Tertiary
Cork City Council,L-10045,Local Tertiary
Cork City Council,L-10046,Local Tertiary
Cork City Council,L-10048,Local Tertiary
Cork City Council,L-10049,Local Tertiary
Cork City Council,L-1005,Local Primary
Cork City Council,L-10051,Local Tertiary
Cork City Council,L-10052,Local Tertiary
Cork City Council,L-10053,Local Tertiary
Cork City Council,L-10054,Local Tertiary
Cork City Council,L-10055,Local Tertiary
Cork City Council,L-10056,Local Tertiary
Cork City Council,L-10057,Local Tertiary
Cork City Council,L-10058,Local Tertiary
Cork City Council,L-1006,Local Primary
Cork City Council,L-1007,Local Primary
Cork City Council,L-10071,Local Tertiary
Cork City Council,L-10072,Local Tertiary
Cork City Council,L-10073,Local Tertiary
Cork City Council,L-10074,Local Tertiary
Cork City Council,L-10075,Local Tertiary
Cork City Council,L-10076,Local Tertiary
Cork City Council,L-1008,Local Primary
Cork City Council,L-10081,Local Tertiary
Cork City Council,L-10083,Local Tertiary
Cork City Council,L-1009,Local Primary
Cork City Council,L-10091,Local Tertiary
Cork City Council,L-10092,Local Tertiary
Cork City Council,L-10093,Local Tertiary
Cork City Council,L-10094,Local Tertiary
Cork City Council,L-10096,Local Tertiary
Cork City Council,L-10097,Local Tertiary
Cork City Council,L-10098,Local Tertiary
Cork City Council,L-1010,Local Primary
Cork City Council,L-10100,Local Tertiary
Cork City Council,L-10101,Local Tertiary
Cork City Council,L-10102,Local Tertiary
Cork City Council,L-10103,Local Tertiary
Cork City Council,L-10104,Local Tertiary
Cork City Council,L-10105,Local Tertiary
Cork City Council,L-1011,Local Primary
Cork City Council,L-10111,Local Tertiary
Cork City Council,L-1012,Local Primary
Cork City Council,L-10121,Local Tertiary
Cork City Council,L-10122,Local Tertiary
Cork City Council,L-10126,Local Tertiary
Cork City Council,L-1013,Local Primary
Cork City Council,L-10131,Local Tertiary
Cork City Council,L-10132,Local Tertiary
Cork City Council,L-10133,Local Tertiary
Cork City Council,L-10134,Local Tertiary
Cork City Council,L-10135,Local Tertiary
Cork City Council,L-10136,Local Tertiary
Cork City Council,L-10137,Local Tertiary
Cork City Council,L-10139,Local Tertiary
Cork City Council,L-1014,Local Primary
Cork City Council,L-10141,Local Tertiary
Cork City Council,L-10142,Local Tertiary
Cork City Council,L-10143,Local Tertiary
Cork City Council,L-10144,Local Tertiary
Cork City Council,L-10145,Local Tertiary
Cork City Council,L-10147,Local Tertiary
Cork City Council,L-10148,Local Tertiary
Cork City Council,L-10149,Local Tertiary
Cork City Council,L-1015,Local Primary
Cork City Council,L-10151,Local Tertiary
Cork City Council,L-10152,Local Tertiary
Cork City Council,L-10153,Local Tertiary
Cork City Council,L-10154,Local Tertiary
Cork City Council,L-10155,Local Tertiary
Cork City Council,L-10156,Local Tertiary
Cork City Council,L-10157,Local Tertiary
Cork City Council,L-1016,Local Primary
Cork City Council,L-10161,Local Tertiary
Cork City Council,L-10162,Local Tertiary
Cork City Council,L-10163,Local Tertiary
Cork City Council,L-10164,Local Tertiary
Cork City Council,L-10166,Local Tertiary
Cork City Council,L-10168,Local Tertiary
Cork City Council,L-10169,Local Tertiary
Cork City Council,L-1017,Local Primary
Cork City Council,L-10171,Local Tertiary
Cork City Council,L-10172,Local Tertiary
Cork City Council,L-10173,Local Tertiary
Cork City Council,L-10174,Local Tertiary
Cork City Council,L-10175,Local Tertiary
Cork City Council,L-10176,Local Tertiary
Cork City Council,L-1018,Local Primary
Cork City Council,L-10181,Local Tertiary
Cork City Council,L-10184,Local Tertiary
Cork City Council,L-10186,Local Tertiary
Cork City Council,L-1019,Local Primary
