LA,RoadNumber,RoadClass
Cork City Council,R-579,Regional
Cork City Council,R-600,Regional
Cork City Council,R-608,Regional
Cork City Council,R-610,Regional
Cork City Council,R-614,Regional
Cork City Council,R-615,Regional
Cork City Council,R-616,Regional
Cork City Council,R-617,Regional
Cork City Council,R-618,Regional
Cork City Council,R-635,Regional
Cork City Council,R-639,Regional
Cork City Council,R-641,Regional
Cork City Council,R-846,Regional
Cork City Council,R-847,Regional
Cork City Council,R-848,Regional
Cork City Council,R-849,Regional
Cork City Council,R-851,Regional
Cork City Council,R-852,Regional
Cork City Council,R-853,Regional
Cork City Council,R-854,Regional
Cork City Council,R-855,Regional
Clare County Council,R-352,Regional
Clare County Council,R-445,Regional
Clare County Council,R-458,Regional
Clare County Council,R-459,Regional
Clare County Council,R-460,Regional
Clare County Council,R-461,Regional
Clare County Council,R-462,Regional
Clare County Council,R-463,Regional
Clare County Council,R-464,Regional
Clare County Council,R-465,Regional
Clare County Council,R-466,Regional
Clare County Council,R-467,Regional
Clare County Council,R-468,Regional
Clare County Council,R-469,Regional
Clare County Council,R-470,Regional
Clare County Council,R-471,Regional
Clare County Council,R-472,Regional
Clare County Council,R-473,Regional
Clare County Council,R-474,Regional
Clare County Council,R-475,Regional
Clare County Council,R-476,Regional
Clare County Council,R-477,Regional
Clare County Council,R-478,Regional
Clare County Council,R-479,Regional
Clare County Council,R-480,Regional
Clare County Council,R-481,Regional
Clare County Council,R-482,Regional
Clare County Council,R-483,Regional
Clare County Council,R-484,Regional
Clare County Council,R-485,Regional
Clare County Council,R-486,Regional
Clare County Council,R-487,Regional
Clare County Council,R-488,Regional
Clare County Council,R-496,Regional
Clare County Council,R-871,Regional
Clare County Council,R-912,Regional
Cavan County Council,R-154,Regional
Cavan County Council,R-162,Regional
Cavan County Council,R-164,Regional
Cavan County Council,R-165,Regional
Cavan County Council,R-178,Regional
Cavan County Council,R-179,Regional
Cavan County Council,R-181,Regional
Cavan County Council,R-188,Regional
Cavan County Council,R-190,Regional
Cavan County Council,R-191,Regional
Cavan County Council,R-192,Regional
Cavan County Council,R-194,Regional
Cavan County Council,R-195,Regional
Cavan County Council,R-196,Regional
Cavan County Council,R-197,Regional
Cavan County Council,R-198,Regional
Cavan County Council,R-199,Regional
Cavan County Council,R-200,Regional
Cavan County Council,R-201,Regional
Cavan County Council,R-202,Regional
Cavan County Council,R-203,Regional
Cavan County Council,R-205,Regional
Cavan County Council,R-206,Regional
Cavan County Council,R-207,Regional
Cavan County Council,R-212,Regional
Cavan County Council,R-394,Regional
Cavan County Council,R-901,Regional
Cavan County Council,R-935,Regional
Cork County Council,R-512,Regional
Cork County Council,R-513,Regional
Cork County Council,R-515,Regional
Cork County Council,R-517,Regional
Cork County Council,R-522,Regional
Cork County Council,R-548,Regional
Cork County Council,R-571,Regional
Cork County Council,R-572,Regional
Cork County Council,R-574,Regional
Cork County Council,R-575,Regional
Cork County Council,R-576,Regional
Cork County Council,R-577,Regional
Cork County Council,R-578,Regional
Cork County Council,R-579,Regional
Cork County Council,R-580,Regional
Cork County Council,R-581,Regional
Cork County Council,R-582,Regional
Cork County Council,R-583,Regional
Cork County Council,R-584,Regional
Cork County Council,R-585,Regional
Cork County Council,R-586,Regional
Cork County Council,R-587,Regional
Cork County Council,R-588,Regional
Cork County Council,R-589,Regional
Cork County Council,R-590,Regional
Cork County Council,R-591,Regional
Cork County Council,R-592,Regional
Cork County Council,R-593,Regional
Cork County Council,R-594,Regional
Cork County Council,R-595,Regional
Cork County Council,R-596,Regional
Cork County Council,R-597,Regional
Cork County Council,R-598,Regional
Cork County Council,R-599,Regional
Cork County Council,R-600,Regional
Cork County Council,R-601,Regional
Cork County Council,R-602,Regional
Cork County Council,R-603,Regional
Cork County Council,R-604,Regional
Cork County Council,R-605,Regional
Cork County Council,R-606,Regional
Cork County Council,R-607,Regional
Cork County Council,R-610,Regional
Cork County Council,R-611,Regional
Cork County Council,R-612,Regional
Cork County Council,R-613,Regional
Cork County Council,R-614,Regional
Cork County Council,R-616,Regional
Cork County Council,R-618,Regional
Cork County Council,R-619,Regional
Cork County Council,R-620,Regional
Cork County Council,R-621,Regional
Cork County Council,R-622,Regional
Cork County Council,R-623,Regional
Cork County Council,R-624,Regional
Cork County Council,R-626,Regional
Cork County Council,R-627,Regional
Cork County Council,R-628,Regional
Cork County Council,R-629,Regional
Cork County Council,R-630,Regional
Cork County Council,R-631,Regional
Cork County Council,R-632,Regional
Cork County Council,R-633,Regional
Cork County Council,R-634,Regional
Cork County Council,R-637,Regional
Cork County Council,R-638,Regional
Cork County Council,R-639,Regional
Cork County Council,R-665,Regional
Cork County Council,R-666,Regional
Cork County Council,R-667,Regional
Cork County Council,R-880,Regional
Cork County Council,R-883,Regional
Cork County Council,R-907,Regional
Cork County Council,R-908,Regional
Cork County Council,R-930,Regional
Carlow County Council,R-417,Regional
Carlow County Council,R-418,Regional
Carlow County Council,R-430,Regional
Carlow County Council,R-448,Regional
Carlow County Council,R-702,Regional
Carlow County Council,R-703,Regional
Carlow County Council,R-705,Regional
Carlow County Council,R-724,Regional
Carlow County Council,R-725,Regional
Carlow County Council,R-726,Regional
Carlow County Council,R-727,Regional
Carlow County Council,R-729,Regional
Carlow County Council,R-747,Regional
Carlow County Council,R-888,Regional
Carlow County Council,R-924,Regional
Dublin City Council,R-101,Regional
Dublin City Council,R-102,Regional
Dublin City Council,R-103,Regional
Dublin City Council,R-104,Regional
Dublin City Council,R-105,Regional
Dublin City Council,R-107,Regional
Dublin City Council,R-108,Regional
Dublin City Council,R-109,Regional
Dublin City Council,R-110,Regional
Dublin City Council,R-111,Regional
Dublin City Council,R-112,Regional
Dublin City Council,R-114,Regional
Dublin City Council,R-117,Regional
Dublin City Council,R-118,Regional
Dublin City Council,R-131,Regional
Dublin City Council,R-132,Regional
Dublin City Council,R-135,Regional
Dublin City Council,R-137,Regional
Dublin City Council,R-138,Regional
Dublin City Council,R-139,Regional
Dublin City Council,R-147,Regional
Dublin City Council,R-148,Regional
Dublin City Council,R-801,Regional
Dublin City Council,R-802,Regional
Dublin City Council,R-803,Regional
Dublin City Council,R-804,Regional
Dublin City Council,R-805,Regional
Dublin City Council,R-806,Regional
Dublin City Council,R-807,Regional
Dublin City Council,R-808,Regional
Dublin City Council,R-809,Regional
Dublin City Council,R-810,Regional
Dublin City Council,R-811,Regional
Dublin City Council,R-812,Regional
Dublin City Council,R-813,Regional
Dublin City Council,R-814,Regional
Dublin City Council,R-815,Regional
Dublin City Council,R-816,Regional
Dublin City Council,R-817,Regional
Dublin City Council,R-818,Regional
Dublin City Council,R-819,Regional
Dublin City Council,R-820,Regional
Dublin City Council,R-824,Regional
Dublin City Council,R-825,Regional
Dublin City Council,R-833,Regional
Dublin City Council,R-834,Regional
Dublin City Council,R-839,Regional
Dublin City Council,R-840,Regional
Donegal County Council,R-229,Regional
Donegal County Council,R-230,Regional
Donegal County Council,R-231,Regional
Donegal County Council,R-232,Regional
Donegal County Council,R-233,Regional
Donegal County Council,R-234,Regional
Donegal County Council,R-235,Regional
Donegal County Council,R-236,Regional
Donegal County Council,R-237,Regional
Donegal County Council,R-238,Regional
Donegal County Council,R-239,Regional
Donegal County Council,R-240,Regional
Donegal County Council,R-241,Regional
Donegal County Council,R-242,Regional
Donegal County Council,R-243,Regional
Donegal County Council,R-244,Regional
Donegal County Council,R-245,Regional
Donegal County Council,R-246,Regional
Donegal County Council,R-247,Regional
Donegal County Council,R-248,Regional
Donegal County Council,R-249,Regional
Donegal County Council,R-250,Regional
Donegal County Council,R-251,Regional
Donegal County Council,R-252,Regional
Donegal County Council,R-253,Regional
Donegal County Council,R-254,Regional
Donegal County Council,R-255,Regional
Donegal County Council,R-256,Regional
Donegal County Council,R-257,Regional
Donegal County Council,R-258,Regional
Donegal County Council,R-259,Regional
Donegal County Council,R-260,Regional
Donegal County Council,R-261,Regional
Donegal County Council,R-262,Regional
Donegal County Council,R-263,Regional
Donegal County Council,R-264,Regional
Donegal County Council,R-265,Regional
Donegal County Council,R-266,Regional
Donegal County Council,R-267,Regional
Donegal County Council,R-268,Regional
Donegal County Council,R-280,Regional
Donegal County Council,R-925,Regional
Donegal County Council,R-936,Regional
Donegal County Council,R-940,Regional
Dun Laoghaire - Rathdown County Council,R-112,Regional
Dun Laoghaire - Rathdown County Council,R-113,Regional
Dun Laoghaire - Rathdown County Council,R-116,Regional
Dun Laoghaire - Rathdown County Council,R-117,Regional
Dun Laoghaire - Rathdown County Council,R-118,Regional
Dun Laoghaire - Rathdown County Council,R-119,Regional
Dun Laoghaire - Rathdown County Council,R-133,Regional
Dun Laoghaire - Rathdown County Council,R-138,Regional
Dun Laoghaire - Rathdown County Council,R-291,Regional
Dun Laoghaire - Rathdown County Council,R-821,Regional
Dun Laoghaire - Rathdown County Council,R-824,Regional
Dun Laoghaire - Rathdown County Council,R-825,Regional
Dun Laoghaire - Rathdown County Council,R-826,Regional
Dun Laoghaire - Rathdown County Council,R-827,Regional
Dun Laoghaire - Rathdown County Council,R-828,Regional
Dun Laoghaire - Rathdown County Council,R-829,Regional
Dun Laoghaire - Rathdown County Council,R-830,Regional
Dun Laoghaire - Rathdown County Council,R-831,Regional
Dun Laoghaire - Rathdown County Council,R-832,Regional
Dun Laoghaire - Rathdown County Council,R-837,Regional
Dun Laoghaire - Rathdown County Council,R-842,Regional
Fingal County Council,R-102,Regional
Fingal County Council,R-104,Regional
Fingal County Council,R-105,Regional
Fingal County Council,R-106,Regional
Fingal County Council,R-107,Regional
Fingal County Council,R-108,Regional
