Station Name: GALWAY (Univ.Coll.)
Station Height: 14 M 
Latitude:53.276  ,Longitude: -9.064


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
1965,1,8, , , , 
1965,2,8, , , , 
1965,3,8, , , , 
1965,4,8, , , , 
1965,5,8, , , , 
1965,6,8, , , , 
1965,7,8, , , , 
1965,8,8, , , , 
1965,9,8, , , , 
1965,10,8, , , , 
1965,11,0,107.3,35.3,21,15
1965,12,0,185.9,23.9,24,21
1966,1,0,95.7,17.9,18,15
1966,2,0,127.8,16.3,27,22
1966,3,0,75.1,14.6,21,16
1966,4,0,128.7,24.2,22,17
1966,5,0,105.8,18.1,17,14
1966,6,0,158.1,39.2,25,19
1966,7,0,32.4,8.5,18,9
1966,8,0,69.5,23.9,16,13
1966,9,0,90.4,50.5,16,10
1966,10,0,92.2,16.9,20,15
1966,11,0,73.0,12.3,23,15
1966,12,0,116.5,13.3,27,22
1967,1,0,68.8,10.3,20,14
1967,2,0,120.8,23.0,19,15
1967,3,0,87.3,13.1,23,18
1967,4,0,33.1,8.8,11,8
1967,5,0,111.0,21.8,23,16
1967,6,0,48.6,11.1,15,11
1967,7,0,85.6,12.0,24,20
1967,8,0,94.0,37.8,25,15
1967,9,0,124.2,16.8,21,17
1967,10,0,284.9,46.2,29,27
1967,11,0,71.8,12.3,21,13
1967,12,0,66.9,12.4,26,15
1968,1,0,151.1,17.6,23,20
1968,2,0,33.0,8.2,13,7
1968,3,0,92.5,20.2,19,15
1968,4,0,39.7,4.6,19,15
1968,5,0,57.2,15.9,15,10
1968,6,0,85.3,17.5,19,16
1968,7,0,22.6,12.6,7,4
1968,8,0,111.1,39.6,14,12
1968,9,0,155.5,37.4,22,18
1968,10,0,186.1,57.0,23,23
1968,11,0,125.4,26.7,18,14
