,stop_id,stop_name,stop_lat,stop_lon,direction,route_id
BS1,8460B5220101,Spanish Arch,53.270394,-9.05478,0,401
BS2,8460B5220201,Fr Griffin Road,53.2682322769405,-9.05833967722181,0,401
BS3,8460B5220301,Fr Griffin Avenue,53.2678761857422,-9.06300814450936,0,401
BS4,8460B5220601,Lios Ealtan,53.2682269482251,-9.066000123803,0,401
BS5,8460B5220701,Salthill Road Lower,53.2668325708727,-9.06915849483996,0,401
BS6,8460B5220801,Devon Park,53.2649444486082,-9.0722443478604,0,401
BS7,8460B5220901,Salthill Road Lwr,53.2625757412361,-9.07279965743211,0,401
BS8,8460B5221001,Salthill Church,53.260794476236,-9.07498840330746,0,401
BS9,8460B5221101,Salthill Park,53.2582955027338,-9.07901743408459,0,401
BS10,8460B5221201,Dalysfort Road,53.2599581150869,-9.08001854601089,0,401
BS11,8460B5221301,Oaklands,53.2617198078764,-9.08000297684139,0,401
BS12,8460B5221401,Forster Park,53.2642256636509,-9.0801860381487,0,401
BS13,8460B522301,Scoil Éinde Boys NS,53.2643514959341,-9.08315723300364,0,401
BS14,8460B522331,Eyre Square,53.2736187626422,-9.04884707532921,0,401
BS15,8460B5234401,Ballybrit RC,53.297332735448,-8.98609174633832,0,401
BS16,8460B5234501,Briarhill Park,53.2933945230555,-8.98412603603341,0,401
BS17,8460B5234601,Clayton Hotel,53.2910541229746,-8.98891699933164,0,401
BS18,8460B5234701,The Paddocks,53.2909002829322,-8.99444814772905,0,401
BS19,8460B5234801,Ballybrit Heights,53.2898292638969,-8.99785800512348,0,401
BS20,8460B5234901,Ballybrit Industrial Estate,53.2887052846313,-9.00221135638492,0,401
BS21,8460B5235001,Castlepark Road,53.2879505497538,-9.00432343377447,0,401
BS22,8460B5235101,Gortcam,53.2862155063504,-9.00224307645383,0,401
BS23,8460B5235201,Sliabh Rua,53.2835778841625,-9.00168646616938,0,401
BS24,8460B5235301,Castle Park,53.2820586420355,-9.0049350852693,0,401
BS25,8460B5235401,Rahylin Glebe,53.2805922219096,-9.00723999587407,0,401
BS26,8460B5235501,Árd Aoibhinn Drive,53.2814053147985,-9.00992838334425,0,401
BS27,8460B5235601,Ballybane Centre,53.2850258505979,-9.01115353978336,0,401
BS28,8460B5235801,Monivea Park,53.2888447484771,-9.01547328801551,0,401
BS29,8460B5236301,Parnell Avenue,53.28618626714,-9.01842476335889,0,401
BS30,8460B5236401,Clarke Avenue,53.2866417308865,-9.02191506924333,0,401
BS31,8460B5236501,ATU Galway Cluain Mhuire,53.2843927771652,-9.02634549755678,0,401
BS32,8460B5236601,Wellpark Retail,53.282871400347,-9.03184272352855,0,401
