,stop_id,stop_name,stop_lat,stop_lon,direction,route_id
BS1,8460B5220101,Spanish Arch,53.270394,-9.05478,0,401
BS2,8460B5220201,Fr Griffin Road,53.26823228,-9.058339677,0,401
BS3,8460B5220301,Fr Griffin Avenue,53.26787619,-9.063008145,0,401
BS4,8460B5220601,Lios Ealtan,53.26822695,-9.066000124,0,401
BS5,8460B5220701,Salthill Road Lower,53.26683257,-9.069158495,0,401
BS6,8460B5220801,Devon Park,53.26494445,-9.072244348,0,401
BS7,8460B5220901,Salthill Road Lwr,53.26257574,-9.072799657,0,401
BS8,8460B5221001,Salthill Church,53.26079448,-9.074988403,0,401
BS9,8460B5221101,Salthill Park,53.2582955,-9.079017434,0,401
BS10,8460B5221201,Dalysfort Road,53.25995812,-9.080018546,0,401
BS11,8460B5221301,Oaklands,53.26171981,-9.080002977,0,401
BS12,8460B5221401,Forster Park,53.26422566,-9.080186038,0,401
BS13,8460B522301,Scoil Éinde Boys NS,53.2643515,-9.083157233,0,401
BS14,8460B522331,Eyre Square,53.27361876,-9.048847075,0,401
BS15,8460B5234401,Ballybrit RC,53.29733274,-8.986091746,0,401
BS16,8460B5234501,Briarhill Park,53.29339452,-8.984126036,0,401
BS17,8460B5234601,Clayton Hotel,53.29105412,-8.988916999,0,401
BS18,8460B5234701,The Paddocks,53.29090028,-8.994448148,0,401
BS19,8460B5234801,Ballybrit Heights,53.28982926,-8.997858005,0,401
BS20,8460B5234901,Ballybrit Industrial Estate,53.28870528,-9.002211356,0,401
BS21,8460B5235001,Castlepark Road,53.28795055,-9.004323434,0,401
BS22,8460B5235101,Gortcam,53.28621551,-9.002243076,0,401
BS23,8460B5235201,Sliabh Rua,53.28357788,-9.001686466,0,401
BS24,8460B5235301,Castle Park,53.28205864,-9.004935085,0,401
BS25,8460B5235401,Rahylin Glebe,53.28059222,-9.007239996,0,401
BS26,8460B5235501,Árd Aoibhinn Drive,53.28140531,-9.009928383,0,401
BS27,8460B5235601,Ballybane Centre,53.28502585,-9.01115354,0,401
BS28,8460B5235801,Monivea Park,53.28884475,-9.015473288,0,401
BS29,8460B5236301,Parnell Avenue,53.28618627,-9.018424763,0,401
BS30,8460B5236401,Clarke Avenue,53.28664173,-9.021915069,0,401
BS31,8460B5236501,ATU Galway Cluain Mhuire,53.28439278,-9.026345498,0,401
BS32,8460B5236601,Wellpark Retail,53.2828714,-9.031842724,0,401
BS33,8460B5236701,Loyola Park,53.28007566,-9.036064078,0,401
BS34,8460B5236801,Connacht Rugby,53.27869016,-9.038294811,0,401
BS35,8460B5236901,Yeats College,53.27639691,-9.041552944,0,401
BS36,8460B5243601,Forster Street,53.27491512,-9.046554792,0,401
BS37,8460B6355601,Galway Tech Park,53.29902495,-8.986865827,0,401
BS38,8460B5203201,Monivea Road,53.29118129,-8.988754944,1,401
BS39,8460B522171,Bóthar na Trá GAA,53.26362279,-9.087186055,1,401
BS40,8460B5221801,Galway Tennis Club,53.26274879,-9.089397317,1,401
BS41,8460B5221901,Diving Board,53.25748533,-9.090027932,1,401
BS42,8460B5222001,Ladies Beach,53.25790032,-9.085916846,1,401
BS43,8460B5222101,Salthill Park,53.25850285,-9.078947713,1,401
BS44,8460B5222201,Lenaboy Gardens,53.26123652,-9.074804633,1,401
BS45,8460B5222301,Salthill Road Lower,53.26380985,-9.072485781,1,401
BS46,8460B5222501,Devon Park,53.26531258,-9.072283538,1,401
BS47,8460B5222601,St Mary's Avenue,53.26707961,-9.068669956,1,401
BS48,8460B5222701,Lios Ealtan,53.26829776,-9.066121816,1,401
BS49,8460B5222801,Fr Griffin Avenue,53.26754208,-9.062175346,1,401
BS50,8460B5222901,Fr Griffin Road,53.26857585,-9.058108299,1,401
BS51,8460B522301,Scoil Éinde Boys NS,53.2643515,-9.083157233,1,401
BS52,8460B522311,Jury's Hotel,53.2703467,-9.054014211,1,401
BS53,8460B523201,Eyre Square East,53.27454651,-9.048614897,1,401
BS54,8460B5232101,Forster Court,53.27623415,-9.046796931,1,401
BS55,8460B5232301,College Road,53.27666792,-9.041394596,1,401
BS56,8460B5232401,Connacht Rugby,53.27922488,-9.03778294,1,401
BS57,8460B5232501,Loyola Park,53.2799815,-9.03655665,1,401
BS58,8460B5232701,Well Park Estate,53.28391236,-9.027863658,1,401
BS59,8460B5232801,Monivea Road,53.2866665,-9.022170622,1,401
BS60,8460B5233001,Monivea Park,53.28893588,-9.015325464,1,401
BS61,8460B5233101,Ballybane Centre,53.28633279,-9.011769304,1,401
BS62,8460B5233201,Walter Macken Road,53.28280517,-9.010186335,1,401
BS63,8460B5233301,Castlepark Road,53.28114769,-9.006383301,1,401
BS64,8460B5233401,Béal Srutha,53.2827881,-9.003692505,1,401
BS65,8460B5233501,Gortcam,53.28594619,-9.002206779,1,401
BS66,8460B5233601,Glenavon Drive,53.28729028,-9.003753026,1,401
BS67,8460B5233801,Ballybrit Industrial Estate,53.28860644,-9.002209043,1,401
BS68,8460B5233901,Ballybrit Heights,53.28979867,-8.998292258,1,401
BS69,8460B5234201,Ballybrit Crescent,53.29333912,-8.984304763,1,401
BS70,8460B5234301,Ballybrit Crescent,53.2969738,-8.986023473,1,401
BS71,8460B5245001,Merchants Road,53.27313407,-9.048775238,1,401
BS72,8460B5304201,An Luasán,53.29105705,-8.992891867,1,401
BS73,8460B5332601,Galway Comm College,53.28275475,-9.032859668,1,401
BS74,8460B5332901,McDermott Avenue,53.28593838,-9.017983942,1,401
BS75,8460B555431,Parkmore Road,53.2992199,-8.987200367,1,401
BS76,8460B5223401,Seacrest,53.2621096,-9.112869245,0,402
BS77,8460B5223501,Forest Hills,53.26263601,-9.116165605,0,402
BS78,8460B5223601,Westbrook,53.26067243,-9.117583376,0,402
BS79,8460B5223701,Barna Road,53.26086636,-9.109329579,0,402
BS80,8460B5223801,Knocknacarra,53.2585548,-9.103709204,0,402
BS81,8460B5223901,Knocknacarra Road,53.2595771,-9.102011861,0,402
BS82,8460B5224001,Brook Lawn,53.26194968,-9.101053592,0,402
BS83,8460B5224101,Kingston Road,53.26457908,-9.100506544,0,402
BS84,8460B5224201,Manor Drive,53.2667043,-9.093215594,0,402
BS85,8460B5224301,Taylor's Hill Road,53.2672472,-9.086918214,0,402
BS86,8460B5224401,Ardmore,53.26821564,-9.083209924,0,402
BS87,8460B5224701,Sycamore Drive,53.26917356,-9.077672215,0,402
BS88,8460B5224801,St Anne's,53.26888224,-9.072103008,0,402
BS89,8460B5225001,Presentation Convent,53.27302616,-9.072026777,0,402
BS90,8460B5225101,Scoil Bhride,53.27353262,-9.070675066,0,402
BS91,8460B5225201,Davis Road,53.27539045,-9.070961395,0,402
BS92,8460B5225301,McDara Road,53.27497987,-9.06763752,0,402
BS93,8460B5225401,HSE Clinic,53.27436293,-9.064263603,0,402
BS94,8460B5225501,Lower Newcastle Road,53.27606801,-9.06354126,0,402
BS95,8460B5225601,Uni of Galway,53.2767463,-9.062058666,0,402
BS96,8460B5225901,Franciscan Friary,53.27504456,-9.053290132,0,402
BS97,8460B5226101,Eyre Square,53.27509478,-9.049632895,0,402
BS98,8460B5226201,Prospect Hill,53.27742103,-9.046735965,0,402
BS99,8460B5226301,Bohermore,53.27860283,-9.045205366,0,402
BS100,8460B5226501,St Anthony's Tce,53.28041444,-9.042565359,0,402
BS101,8460B5226801,Bohermore,53.28191062,-9.038987714,0,402
BS102,8460B5226901,The G Hotel,53.28114565,-9.031861135,0,402
BS103,8460B5227001,Renmore Park,53.27985858,-9.024782306,0,402
BS104,8460B5227101,Bon Secours Hospital,53.27834713,-9.021822157,0,402
BS105,8460B5227201,Renmore Park,53.27682918,-9.023810182,0,402
BS106,8460B5227301,Dun Na Mara,53.27543467,-9.026070912,0,402
BS107,8460B5227401,Galway Army Barracks,53.27360712,-9.028516015,0,402
BS108,8460B5227501,Hawthorn Drive,53.27240007,-9.021515409,0,402
BS109,8460B5227601,Rowan Avenue,53.27307012,-9.018832646,0,402
BS110,8460B5227701,Fushia Drive,53.2729409,-9.016070873,0,402
BS111,8460B5227801,Ballyloughane Road,53.27436453,-9.014590298,0,402
BS112,8460B5227901,Dawn Dairies,53.27690715,-9.013630898,0,402
BS113,8460B5228001,Merlin Hospital Gate,53.27639423,-9.003077888,0,402
BS114,8460B5228101,ATU Galway City,53.27719864,-9.009994152,0,402
BS115,8460B5228201,Merlin Park Hospital,53.27724182,-8.994161061,0,402
BS116,8460B5231701,Maunsells Park,53.2704578,-9.071797608,0,402
BS117,8460B5231801,Galway Cathedral,53.275801,-9.058196769,0,402
BS118,8460B5223401,Seacrest,53.2621096,-9.112869245,1,402
