,route_long_name,g_trip_headsign,route_id,route_short_name,direction_id,variation_route_id,first_stop_id,last_stop_id,first_stop_name,last_stop_name,num_stops
BR1,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5221101,Ballybrit RC,Salthill Park,37
BR2,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B522301,Ballybrit RC,Scoil Éinde Boys NS,37
BR3,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5221401,Ballybrit RC,Forster Park,37
BR4,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5221301,Ballybrit RC,Oaklands,37
BR5,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5220601,Ballybrit RC,Lios Ealtan,37
BR6,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5234801,Ballybrit RC,Ballybrit Heights,37
BR7,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5235201,Ballybrit RC,Sliabh Rua,37
BR8,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5243601,Ballybrit RC,Forster Street,37
BR9,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5236701,Ballybrit RC,Loyola Park,37
BR10,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B5235801,Ballybrit RC,Monivea Park,37
BR11,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234401,8460B522331,Ballybrit RC,Eyre Square,24
BR12,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234501,8460B5221201,Briarhill Park,Dalysfort Road,37
BR13,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B5234501,8460B522301,Briarhill Park,Scoil Éinde Boys NS,37
